POSITION;NAME;GENDER;YEAR;PUBLISHER;CS;DE;SE;TH
1;Carla P. Gomes;F;2000;AAAI Press / The MIT Press;1;0;0;0
2;Elaine Kant;F;2000;AAAI Press / The MIT Press;1;0;0;0
1;Emily Anderson;F;2000;AAAI Press / The MIT Press;1;0;0;0
6;Kathy Ryall;F;2000;AAAI Press / The MIT Press;1;0;0;0
0;Chinatsu Aone;F;2000;AAAI Press / The MIT Press;1;0;0;0
1;Mila Ramos-Santacruz;F;2000;AAAI Press / The MIT Press;1;0;0;0
1;Wei Sun;F;2000;AAAI Press / The MIT Press;1;0;0;0
3;Maria Muslea;F;2002;AAAI Press / The MIT Press;1;0;0;0
4;Jean Oh;F;2002;AAAI Press / The MIT Press;1;0;0;0
1;Haixia Jia;F;2004;AAAI Press / The MIT Press;1;0;0;0
1;Maja J. Mataric;F;2004;AAAI Press / The MIT Press;1;0;0;0
1;Jing Peng;F;2004;AAAI Press / The MIT Press;1;0;0;0
0;Andrea Acciarri;F;2005;AAAI Press / The MIT Press;1;0;0;0
0;Noa Agmon;F;2005;AAAI Press / The MIT Press;1;0;0;0
2;Sarit Kraus;F;2005;AAAI Press / The MIT Press;1;0;0;0
1;Jianna Zhang;F;2005;AAAI Press / The MIT Press;1;0;0;0
5;Iris Howley;F;2005;AAAI Press / The MIT Press;1;0;0;0
1;Carla P. Gomes;F;2005;AAAI Press / The MIT Press;1;0;0;0
2;Maja Milicic;F;2005;AAAI Press / The MIT Press;1;0;0;0
3;Ulrike Sattler;F;2005;AAAI Press / The MIT Press;1;0;0;0
1;Jing Peng;F;2005;AAAI Press / The MIT Press;1;0;0;0
0;Cécile Aberg;F;2006;AAAI Press;1;0;0;0
3;Nahid Shahmehri;F;2006;AAAI Press;1;0;0;0
0;Mazda Ahmadi;F;2006;AAAI Press;1;0;0;0
0;Mazda Ahmadi;F;2006;AAAI Press;1;0;0;0
1;Natasha Alechina;F;2006;AAAI Press;1;0;0;0
3;Chiara Ghidini;F;2006;AAAI Press;1;0;0;0
3;Jessica Jenkins;F;2006;AAAI Press;1;0;0;0
5;Maria Muslea;F;2006;AAAI Press;1;0;0;0
7;Guizhen Yang;F;2006;AAAI Press;1;0;0;0
0;Leila Amgoud;F;2006;AAAI Press;1;0;0;0
1;Susan Leigh Anderson;F;2006;AAAI Press;1;0;0;0
0;Alina Andreevskaia;F;2006;AAAI Press;1;0;0;0
1;Sabine Bergler;F;2006;AAAI Press;1;0;0;0
0;Yuan An;F;2006;AAAI Press;1;0;0;0
3;Carla P. Gomes;F;2006;AAAI Press;1;0;0;0
1;Dana S. Nau;F;2006;AAAI Press;1;0;0;0
1;Sheila A. McIlraith;F;2006;AAAI Press;1;0;0;0
0;Natasha Alechina;F;2007;AAAI Press;1;0;0;0
5;Mary D. Swift;F;2007;AAAI Press;1;0;0;0
1;Maria Luisa Bonet;F;2007;AAAI Press;1;0;0;0
1;Marie desJardins;F;2007;AAAI Press;1;0;0;0
0;Katie Atkinson;F;2007;AAAI Press;1;0;0;0
0;Dorit Avrahami-Zilberbrand;F;2007;AAAI Press;1;0;0;0
0;Jie Bao;F;2007;AAAI Press;1;0;0;0
0;Jennifer Abernethy;F;2008;AAAI Press;1;0;0;0
2;Elizabeth Bradley;F;2008;AAAI Press;1;0;0;0
2;Angèle M. Hamel;F;2008;AAAI Press;1;0;0;0
1;Maria Luisa Bonet;F;2008;AAAI Press;1;0;0;0
2;Sarit Kraus;F;2008;AAAI Press;1;0;0;0
3;Sheila A. McIlraith;F;2008;AAAI Press;1;0;0;0
0;Jie Bao;F;2008;AAAI Press;1;0;0;0
2;Jing Wang;F;2010;AAAI Press;1;0;0;0
2;Catherine Havasi;F;2010;AAAI;1;0;0;0
1;Maria Luisa Bonet;F;2010;AAAI Press;1;0;0;0
3;Yi Zhou;F;2010;AAAI Press;1;0;0;0
1;Xiaoli Fern;F;2010;AAAI Press;1;0;0;0
3;Elizabeth Burrows;F;2010;AAAI Press;1;0;0;0
5;Yanzhen Fan;F;2010;AAAI Press;1;0;0;0
8;Rebecca Schaller;F;2010;AAAI Press;1;0;0;0
1;Nadja Betzler;F;2010;AAAI Press;1;0;0;0
0;Farnaz Abtahi;F;2011;AAAI;1;0;0;0
0;Noa Agmon;F;2011;AAAI;1;0;0;0
0;Noa Agmon;F;2011;AAAI Press;1;0;0;0
3;Heidi A. Taboada;F;2011;AAAI;1;0;0;0
2;Sophia Sullivan;F;2011;AAAI;1;0;0;0
0;Asrar Ahmed;F;2011;AAAI;1;0;0;0
2;Jaeeun Shim;F;2011;AAAI Press;1;0;0;0
3;Andrea Lockerd Thomaz;F;2011;AAAI Press;1;0;0;0
0;Elif Aktolga;F;2011;AAAI;1;0;0;0
1;Irene Ros;F;2011;AAAI;1;0;0;0
3;Joan Morris DiMicco;F;2011;AAAI;1;0;0;0
0;Saleema Amershi;F;2011;AAAI Press;1;0;0;0
3;Desney S. Tan;F;2011;AAAI Press;1;0;0;0
0;Susan Leigh Anderson;F;2011;AAAI;1;0;0;0
3;Barbara J. Grosz;F;2011;AAAI Press;1;0;0;0
2;Aran Clauson;F;2011;AAAI Press;1;0;0;0
3;Heidi E. Dixon;F;2011;AAAI Press;1;0;0;0
4;Hiba Fakhoury;F;2011;AAAI Press;1;0;0;0
6;Erin Keenan;F;2011;AAAI Press;1;0;0;0
1;Neda Shahidi;F;2011;AAAI Press;1;0;0;0
2;Sarit Kraus;F;2011;AAAI Press;1;0;0;0
3;Claudia V. Goldman;F;2011;AAAI Press;1;0;0;0
2;Sarit Kraus;F;2011;AAAI;1;0;0;0
3;Claudia V. Goldman;F;2011;AAAI;1;0;0;0
1;Doina Precup;F;2011;AAAI Press;1;0;0;0
0;Margareta Ackerman;F;2012;AAAI Press;1;0;0;0
2;Simina Brânzei;F;2012;AAAI Press;1;0;0;0
4;Patricia Gutierrez;F;2012;AAAI Press;1;0;0;0
4;Satinder P. Singh;F;2012;AAAI Press;1;0;0;0
2;Yi Zhou;F;2012;AAAI Press;1;0;0;0
2;Sarit Kraus;F;2012;AAAI Press;1;0;0;0
2;Sarit Kraus;F;2012;AAAI Press;1;0;0;0
3;Claudia V. Goldman;F;2012;AAAI Press;1;0;0;0
2;Sarit Kraus;F;2012;AAAI Press;1;0;0;0
3;Claudia V. Goldman;F;2012;AAAI Press;1;0;0;0
1;Yue Chen;F;2012;AAAI Press;1;0;0;0
1;Fusun Yaman;F;2013;AAAI Press;1;0;0;0
4;Hala Mostafa;F;2013;AAAI Press;1;0;0;0
0;Natasha Alechina;F;2013;AAAI Press;1;0;0;0
0;Noga Alon;F;2013;AAAI Press;1;0;0;0
0;Noga Alon;F;2013;AAAI;1;0;0;0
