GENDER;YEAR
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
F;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
M;2000
