YEAR,GENDER,PERCENTUAL
2000,M,83,18
2001,M,82,53
2002,M,82,42
2003,M,81,53
2004,M,81,28
2005,M,81,08
2006,M,80,09
2007,M,81,01
2008,M,80,42
2009,M,79,87
2010,M,79,08
2011,M,78,68
2012,M,78,36
2013,M,77,77
2014,M,77,56
2015,M,78,10
2016,M,76,52
2000,F,16,82
2001,F,17,47
2002,F,17,58
2003,F,18,47
2004,F,18,72
2005,F,18,92
2006,F,19,91
2007,F,18,99
2008,F,19,58
2009,F,20,13
2010,F,20,92
2011,F,21,32
2012,F,21,64
2013,F,22,23
2014,F,22,44
2015,F,21,90
2016,F,23,48
